Name,Weapon,DisplayName,Description,Cost1,Upgrade1,Cost2,Upgrade2,Cost3,Upgrade3,MasteryName,MasteryChallenge,MasteryTarget,MasteryEffect,AcquiredMission
MOD_Breacher_FragSlug,WPN_Breacher,Frag Slug,Sticky explosive slug: 120 impact + 180 splash (r350) after 0.6 s; arm 0.35 s; 2 Shells; 2 s cooldown; Ophan maw = Falter,1,Quick Arm (0.35 -> 0.2 s),2,Double Slug,3,Shrapnel Bloom (8 x 40),Cluster Slug,Stagger Ophans with a Frag Slug in the maw,25,Detonation spawns 3 seeking mini-slugs,M02
MOD_Breacher_DrumFire,WPN_Breacher,Drum Fire,"Hold to spin a drum (0.4 s), full-auto 5 shots/s, +20% spread",1,Fast Spin (0.2 s),2,Heavy Drum (+2 shots/s),3,Cool Barrel (every 4th shot free),Stampede,Kill enemies while Drum Fire is active,150,+15% move speed while firing; kills refund 1 Shell,M05
MOD_Riveter_TackScope,WPN_Riveter,Tack Scope,"3x scope: 90 dmg, weak points/heads x2.5, 2 shots/s",1,Light Frame (100% move scoped),2,Superheated (pierce 1),3,"Weakpoint Coil (refund 3 Rounds, +2 Gain)",Deadeye,Destroy weak points while scoped,100,"Scoped headshot kills on T1 explode (60, r300)",M03
MOD_Riveter_HotRivets,WPN_Riveter,Hot Rivets,"5-rivet burst that embeds and detonates after 1 s (40 each, r150) + Burning; 5 Rounds; 1.5 s cooldown",1,Quick Fuse (0.6 s),2,Plate Cracker (x3 vs plates/shields),3,Full Clip (7 rivets),Chain Reaction,Kill enemies with Hot Rivet detonations,40,Killed enemies with embedded rivets explode (100),M06
MOD_Static_HeatBurst,WPN_StaticRifle,Heat Burst,"Vent Heat as a shockwave (r300-600, 50-300 dmg), stuns T1; 4 s cooldown",1,Quick Vent (2.5 s),2,Wide Burst (+30% radius),3,Hot Hands (+25% heat build),Supernova,Kill enemies with Heat Burst,60,Full-Heat burst applies Distorted,M03
MOD_Static_ArcBeam,WPN_StaticRifle,Arc Beam,Continuous beam (2500 range) ramping 60 -> 240 dps over 2 s; breaks Harmony Links instantly; 12 Charge/s,1,Fast Ramp (1.2 s),2,Arc Stun (stuns T1),3,Efficient Coil (8 Charge/s),Overload,Break Harmony Links or Walls with the Arc Beam,50,"Beam kills explode (150, r350)",M04
MOD_Hammerfall_ClusterBell,WPN_Hammerfall,Cluster Bell,"Heavy shell bursts into 8 bouncing bomblets (60, r200); 2 Ordnance; 3 s cooldown",1,Air Burst (set distance),2,More Bomblets (12),3,Sticky Bomblets,Carpet,Kill enemies with bomblets,100,Cluster Bell costs 1 Ordnance,M05
MOD_Hammerfall_LockSalvo,WPN_Hammerfall,Lock Salvo,"Paint up to 4 locks (0.3 s each), homing rockets 150 + 100 splash; 1 Ordnance per lock",1,Fast Lock (0.18 s),2,Wide Paint (18 deg cone),3,Six-Pack (6 locks),Barrage,Kill flyers with Lock Salvo,40,Salvo free if it kills at least one enemy,M07
MOD_Shredder_TriSpin,WPN_Shredder,Tri-Spin,"Braced mode: 45 rounds/s, spread 2 deg, -30% move; 0.6 s deploy",1,Quick Deploy (0.3 s),2,Unbraced (-10% move),3,Hot Barrels (Burning every 10th hit),Meat Grinder,Deal damage in Tri-Spin,50000,First 2 s of each Tri-Spin burst cost no ammo,M06
MOD_Shredder_DeflectorSpin,WPN_Shredder,Deflector Spin,Spinning disc (r200) blocks cyan projectiles and auto-Counters gold ones; 70% move; 4 s max,1,Wider Disc (r280),2,Charged Release (300 Energy cone),3,Cool Spin (6 s),Wall of Sound,Block or reflect projectiles,500,Each blocked projectile +1 Plating,M08
MOD_ArcCoil_StormNode,WPN_ArcCoil,Storm Node,"Sticky node pulsing lightning (r600, 20 per 0.25 s) for 5 s; 15 Charge; 6 s cooldown; overcharge with primary",1,Longer Storm (8 s),2,Magnet Node (pulls T1),3,Twin Nodes,Tempest,Kill enemies with Storm Nodes,150,"Nodes detonate at the end (250, r600)",M07
MOD_ArcCoil_Tether,WPN_ArcCoil,Tether Coil,Tag up to 3 enemies for 10 s: damage shared at 50%; 20 Charge,1,Wider Tag (4),2,Full Share (75%),3,Mark Duration (15 s),Circuit,Kill 3 tagged enemies within 1 s,30,Kills refresh tags and tag the nearest enemy,M09
MOD_Lance_Overcharge,WPN_Lance,Overcharge,"Charge 1.5 s: 1400 dmg, pierces 100 cm terrain, staggers T2; -30% move while charging; 25 Charge",1,Quick Charge (1.0 s),2,Held Charge (3 s),3,Kill Shot (refund 15 Charge),Colossus Killer,Finish super-heavies with an Overcharged shot,30,Overcharge x1.5 vs T3 and bosses,M10
MOD_Lance_ArcScythe,WPN_Lance,Arc Scythe,"Horizontal energy blade (to 1200 wide at 3000 range), 350 dmg; 20 Charge; 3 s cooldown",1,Wider Scythe (+40%),2,Twin Scythe (X pattern),3,Reaper (+10 Charge per kill),Harvest,Kill 5+ enemies with one Scythe,15,Scythe returns for a second pass,M12
