Name,Branch,Tier,Cost,DisplayName,Effect,UnlockCondition
RIG_Harrow_1,Harrow,1,1,Fast Winch,Charge #1 regen 12 -> 8 s,
RIG_Harrow_2,Harrow,2,1,Magnetized,Resource magnet radius 600 -> 900,
RIG_Harrow_3,Harrow,3,2,Barbed Rip,Shreds also drop 5 Plating,
RIG_Harrow_4,Harrow,4,2,Whiplash,Reel-In punch staggers T2 0.8 s; uses a held Power Chord,
RIG_Harrow_5,Harrow,5,2,Second Spool,Charge #2 also regenerates (20 s),
RIG_Frag_1,Frag,1,1,Twin Charges,2 Frag charges,
RIG_Frag_2,Frag,2,1,Quick Fuse,Fuse 0.3 s; cooldown 10 s,
RIG_Frag_3,Frag,3,2,Cluster,5 mini-charges (60 each),
RIG_Frag_4,Frag,4,2,Concussive,Stuns T2 0.6 s,
RIG_Hush_1,Hush,1,1,Brittle,Hushed enemies take +25% damage,
RIG_Hush_2,Hush,2,1,Life in Silence,Damaging Hushed enemies spawns Health chips,
RIG_Hush_3,Hush,3,2,Deep Hush,Duration 5.5 s; radius 600,
RIG_Hush_4,Hush,4,2,Quick Hush,Cooldown 15 s,
RIG_Distort_1,Distort,1,1,Quick Recovery,Cooldown 18 s,
RIG_Distort_2,Distort,2,1,Wider Cone,"Range 900, angle 90",
RIG_Distort_3,Distort,3,2,Feedback Loop,Kills on Distorted enemies -1 s cooldown,
RIG_Distort_4,Distort,4,2,Overdriven Signal,Distort stuns T2 0.4 s,
RIG_Distort_5,Distort,5,2,Fast Recovery,Cooldown 15 s,
RIG_Mobility_1,Mobility,1,1,Quick Surge,Surge recharge 1.0 s,
RIG_Mobility_2,Mobility,2,1,Surge Strike,Dashing through T1 staggers + 40 dmg,
RIG_Mobility_3,Mobility,3,2,Heavy Beat,"Downbeat damage x1.5, radius +20%",
RIG_Mobility_4,Mobility,4,2,Lunge,Breakdown reach 600 cm,
RIG_Mobility_5,Mobility,5,2,Air Brakes,Hold Surge in air to stop horizontal momentum,
RIG_Survival_1,Survival,1,1,Hazard Plating,Hazard damage -50%,
RIG_Survival_2,Survival,2,1,Resonance Sense,Secrets within 20 m chime and show on compass,
RIG_Survival_3,Survival,3,2,Power Player,Power-up durations +25%,
RIG_Survival_4,Survival,4,2,Scavenger,Placed pickups +25%,
RIG_Survival_5,Survival,5,2,Grudge-Bearer,Breakdowns on T3 grant 1/3 Grudge,Complete M21
